district,pfpr_obs,pfpr_sim,DISTRICT,difference
1.0,0.31846406997840176,0.1845255152068466,Cabo_Delgado,0.13393855477155517
2.0,0.3054190800186162,0.15633570981930817,Gaza,0.149083370199308
3.0,0.2945853669916268,0.17329705551775065,Inhambane,0.12128831147387614
4.0,0.2720315398184185,0.17886714081147012,Manica,0.09316439900694837
5.0,0.28501112814392593,0.17067160870415546,Maputo,0.11433951943977047
6.0,0.2547873082128982,0.14149962679874462,Maputo_City,0.11328768141415357
7.0,0.24830712532379517,0.13772961452148658,Nampula,0.1105775108023086
8.0,0.31788574249097473,0.18223097648799633,Niassa,0.1356547660029784
9.0,0.24378250288216943,0.12652458269007655,Sofala,0.11725792019209288
10.0,0.3484680462596525,0.17949272639328592,Tete,0.16897531986636657
